Layer,Name,GEOID,Population,Longitude,Latitude,MCD_2020-2024,MCD_2020-2024_se,EMP_2020-2024,EMP_2020-2024_se,EKW_2024,EKW_2024_se,RITB_2022,RITB_2022_se,EKR_2024,EKR_2024_se,ADI_2023,ADI_2023_se,HDX_2020-2024,HDX_2020-2024_se,INC_2020-2024,INC_2020-2024_se,PCI_2020-2024,PCI_2020-2024_se,POV_2020-2024,POV_2020-2024_se,SLA-S_2020-2024,SLA-S_2020-2024_se
Census tract,Tract 307.03,17031030703,3075,-87.65787080,41.97887490,24.436206363917208,4.835419990749061,59.22150139017609,5.139019080146288,13.94,,60.0,,72.08,,53.0,,59.39881456392887,,74702.0,6443.1610942249235,53780.0,4889.969604863222,19.833178869323447,4.687291710732846,48.75491480996068,8.1300464401781
Census tract,Tract 307.06,17031030706,2933,-87.65091550,41.98041510,18.54987118145013,4.243184764726045,48.546190651453806,7.479599056354857,13.58,,67.0,,72.08,,37.5,,34.054238404365414,,52167.0,5888.753799392097,65190.0,6750.759878419452,8.906882591093117,2.5878125620055914,77.35148514851485,9.006122188188256
Census tract,Tract 308,17031030800,4284,-87.66418800,41.97991230,5.520646319569121,2.3855059851865805,75.0,1.3143769441633375,15.12,,51.0,,72.08,,24.0,,14.33342742,,105585.0,9190.273556231003,77598.0,6565.95744680851,9.896768402154398,3.5246288832720194,33.50253807106599,10.893755019464509
Census tract,Tract 309,17031030900,2952,-87.67144540,41.97979510,8.800567778566359,2.4424969465578834,69.80127750177431,5.32449604350075,17.38,,42.0,,72.08,,25.5,,4.936964907329005,,87485.0,13082.674772036475,66294.0,5720.9726443769,5.432451751250893,1.8728000410193197,36.65480427046264,9.542865898718803
Census tract,Tract 310,17031031000,3868,-87.67110940,41.97243700,8.239882983910288,2.4851674230871175,73.28132618235007,5.566860671895873,15.28,,50.0,,72.08,,33.333333333333336,,2.6154859347069337,,132147.0,18766.56534954407,82370.0,6463.829787234043,6.576354679802956,2.7407545692584283,35.84905660377358,20.919488128713052
Census tract,Tract 311,17031031100,4691,-87.66386620,41.97266840,11.072804704928004,4.719174835857073,65.40255526262422,3.608437085292615,15.56,,51.0,,72.08,,29.0,,3.030623765170759,,92717.0,8758.0547112462,67570.0,5905.775075987842,9.754613668627051,2.928372159938287,51.11940298507462,15.224739822979805
Census tract,Tract 312,17031031200,5541,-87.65734100,41.97270920,44.338498212157326,6.755714922449942,38.45848232022249,5.309688141076573,15.04,,54.0,,72.08,,56.0,,68.38837143663562,,25713.0,6175.075987841945,32825.0,3874.772036474164,34.41971383147854,6.715861300178145,68.06083650190115,7.597182603228704
Census tract,Tract 313,17031031300,6719,-87.64652980,41.97376460,19.501643883024744,4.194187140358626,45.492299705831456,5.183667470088502,13.6,,62.00000000000001,,72.08,,56.0,,34.01542948537021,,68942.0,8212.158054711246,54096.0,5496.048632218845,19.97563946406821,4.383710432021866,67.77557100297915,8.578761732908577
Census tract,Tract 314,17031031400,5221,-87.64240950,41.95844750,6.22906898861353,1.8389678743365063,69.21187765126145,4.3167563100655375,14.28,,54.0,,66.17,,50.8,,2.002775425722081,,93026.0,7440.121580547112,76423.0,4973.252279635259,4.387732258786658,1.4254497056996402,46.44308943089431,7.371411371203963
Census tract,Tract 315.01,17031031501,4155,-87.65243430,41.96728860,38.52493660185968,8.198779556225398,32.26965342349958,4.807306433182607,13.33,,65.0,,72.08,,46.0,,85.03269357418384,,52250.0,8974.468085106382,31244.0,4545.896656534955,45.86513994910941,7.866120637251773,39.492753623188406,9.37741917099411
Census tract,Tract 315.02,17031031502,4712,-87.65236560,41.96363260,41.00089766606822,5.497820229735164,39.38509874326751,3.7982306755565753,12.0,,66.0,,72.08,,57.0,,65.55532034998589,,49684.0,2010.9422492401216,38270.0,3821.276595744681,31.01436265709156,7.117562716746251,61.78489702517162,12.03877732843529
Census tract,Tract 317,17031031700,6294,-87.66319540,41.96544660,6.308654848800835,1.685829924174236,75.4257907542579,6.188563360789637,14.62,,57.0,,72.08,,28.5,,6.668077900084674,,79867.0,6979.331306990882,62755.0,3220.060790273556,5.318039624608968,1.7667857138404068,42.11618257261411,16.14370690363558
Census tract,Tract 318,17031031800,1910,-87.67062090,41.96701140,8.385269121813032,2.128839856453469,62.77620396600566,5.769554174948812,17.0,,45.0,,72.08,,28.0,,33.20985040925769,,82313.0,8768.996960486322,61182.0,6227.963525835866,13.654390934844193,6.378833066088477,48.38709677419355,11.926510885135283
Census tract,Tract 319,17031031900,2522,-87.67018410,41.96337400,6.388107673764563,2.244960818509889,76.57693852952994,4.528020420880304,14.25,,57.0,,72.08,,27.0,,3.0059271803556307,,94107.0,11296.048632218844,72923.0,4643.1610942249235,4.258738449176376,1.404928030665868,6.508875739644971,7.353131568650298
Census tract,Tract 321,17031032100,7543,-87.65301790,41.95815380,15.864920744314263,2.2956037041610378,67.84286698828394,5.3554974907585695,14.4,,56.0,,72.08,,51.8,,47.72556214131151,,72515.0,12521.580547112462,54197.0,3838.905775075988,15.87870434183322,3.150260046415875,53.273809523809526,14.342200291886185
Census tract,Tract 401,17031040100,3905,-87.68288560,41.98562230,8.983761131482451,4.525070121779911,71.3462545835516,5.032556736511502,16.33,,42.0,,72.08,,19.333333333333332,,4.241932448960391,,90952.0,15906.382978723404,80821.0,7972.644376899696,3.92875851231011,1.6646200450705109,38.58585858585858,8.539929076911832
Census tract,Tract 402.01,17031040201,6408,-87.69400050,41.97258040,8.72397677382807,2.2260082777524963,71.2505310862484,4.6636338828033,15.17,,48.0,,72.08,,23.75,,13.941810142064163,,104484.0,13619.452887537993,54354.0,3933.738601823708,9.079320113314449,3.922956572940273,16.666666666666664,7.036132140878761
Census tract,Tract 402.02,17031040202,7318,-87.69409600,41.97985490,27.39706510898988,4.922407573785714,49.39450064111697,3.606467144148522,15.08,,60.0,,65.17,,51.0,,73.35473704,,67832.0,8219.452887537995,35301.0,3607.9027355623098,15.600512893574583,3.597759334587409,32.65107212475634,5.9596828447986745
Census tract,Tract 403,17031040300,2928,-87.70198320,41.97694370,16.38669866300994,4.427539576637054,64.34693177922523,5.628727344878216,14.89,,25.0,,64.23,,30.666666666666668,,43.49421394298617,,78879.0,19205.47112462006,57698.0,8254.711246200608,6.254319281271596,2.1029929396785416,21.70940170940171,5.8335296987613825
Census tract,Tract 404.01,17031040401,3129,-87.68608160,41.97206670,6.044754431851207,1.7977398347721965,70.03777971519906,3.174400249723573,15.33,,46.0,,72.08,,25.75,,18.70589895568727,,108899.0,15446.808510638297,64792.0,6578.723404255319,7.207207207207207,2.0256987495593117,27.500000000000004,7.11877210506872
Census tract,Tract 404.02,17031040402,4746,-87.67881810,41.97254500,12.043010752688172,1.5724317632991944,60.31063321385902,4.240110929288062,15.07,,47.0,,72.08,,38.8,,4.622965471822373,,99201.0,8712.462006079028,78908.0,7492.401215805471,16.488477072938938,6.0680746824869525,30.55555555555556,17.086881948809488
Census tract,Tract 406,17031040600,2530,-87.68401800,41.96683380,4.998016660055534,1.8864677012396285,69.93256644188814,4.129720338071854,16.67,,44.0,,72.08,,7.666666666666667,,2.885972339825007,,89091.0,7260.790273556231,85767.0,13430.395136778116,6.34668782229274,3.1174130083522402,22.392638036809817,7.421849604510194
Census tract,Tract 407,17031040700,3426,-87.69406820,41.96743140,13.202933985330072,3.795110780483739,74.92529204020647,3.3674941542605263,14.67,,52.0,,72.08,,32.0,,16.811318092012417,,105365.0,4800.0,63754.0,4379.939209726444,9.356246590289144,3.415925631049134,43.89312977099237,17.091579468203175
Census tract,Tract 408,17031040800,1636,-87.69182130,41.96397400,2.1033653846153846,1.012660993773771,84.375,2.950358662810664,15.92,,48.0,,72.08,,23.0,,1.6111581522250449,,114397.0,22479.0273556231,80804.0,5517.325227963525,1.4423076923076923,0.7239060842788982,42.35294117647059,14.474826914060278
Census tract,Tract 409,17031040900,2063,-87.68385440,41.96318470,2.690780767534186,1.267294358791779,77.63564181737979,5.357956297421862,15.67,,50.00000000000001,,72.08,,12.0,,7.317245272,,86359.0,15391.489361702128,71730.0,8809.118541033435,6.500445235975066,2.3086264802975025,13.422818791946307,5.726426593556511
Census tract,Tract 501,17031050100,2568,-87.67637300,41.95784510,4.761904761904762,2.1389000698212275,80.90614886731392,4.767912089803287,18.08,,43.0,,72.08,,22.5,,3.430473233606172,,116438.0,23230.395136778116,80992.0,6227.963525835866,5.177993527508091,2.2117209192813685,37.634408602150536,8.77869253578804
Census tract,Tract 502,17031050200,5309,-87.68371680,41.95774050,6.107130672125555,3.5196211841141434,69.56670078471512,3.37838531566028,17.22,,39.0,,72.08,,14.333333333333334,,9.067174710697149,,133708.0,6319.148936170212,79799.0,9137.993920972644,7.386557488911634,3.7787213035671905,38.1791483113069,9.21391586188737
Census tract,Tract 503,17031050300,2671,-87.69044420,41.95788510,4.77632021527077,1.886465280237825,75.24386141944164,5.0463256468803985,15.5,,38.0,,72.08,,11.666666666666666,,2.7954181955028696,,151630.0,19377.507598784196,81763.0,7088.753799392097,4.314122008763061,1.959577247115378,20.050761421319795,5.672746329633273
Census tract,Tract 505,17031050500,5117,-87.68350730,41.95044740,3.026240183872821,1.1466337744074935,83.16414479984677,4.706727236033635,15.43,,45.0,,72.08,,5.4,,2.1533069903095305,,141563.0,12101.519756838905,96416.0,10128.875379939209,2.317563685117794,0.8739609453872146,30.310880829015545,10.171067384269632
Census tract,Tract 506,17031050600,2443,-87.67618240,41.95054770,2.526315789473684,1.1622779538988721,78.90526315789474,2.4654936765497926,16.5,,41.0,,72.08,,17.0,,1.739345187694045,,137083.0,34780.54711246201,96473.0,7990.273556231003,5.454545454545454,2.5376009606467065,30.71895424836601,9.34638054566507
Census tract,Tract 507,17031050700,1513,-87.67605950,41.94507100,3.26530612244898,1.4109486853761657,78.16326530612245,5.405505314546292,15.67,,37.0,,72.08,,10.0,,4.344246871765924,,135653.0,12048.632218844985,85061.0,7615.197568389058,10.136054421768709,3.9695766567056614,15.555555555555555,9.675023874955201
Census tract,Tract 508,17031050800,1406,-87.68092790,41.94500950,4.005524861878453,2.0576458165082108,87.22375690607734,6.877663395044553,16.0,,48.0,,72.08,,4.0,,5.977749553109417,,190469.0,34753.1914893617,77614.0,10840.729483282674,1.9337016574585637,1.183474453222083,25.806451612903224,11.46934553387695
Census tract,Tract 509,17031050900,1426,-87.68577800,41.94494660,5.769230769230769,2.4128486823152553,78.77747252747253,0.638245294855839,15.83,,41.0,,72.08,,8.0,,1.1830840154294853,,132258.0,11069.908814589666,92671.0,8677.203647416412,4.6263345195729535,2.5709011355941276,40.51724137931034,22.733914474326706
Census tract,Tract 510,17031051000,1538,-87.68573170,41.94130240,0.7312614259597806,0.5163533194305782,89.15295551492991,2.749555236738249,17.83,,42.0,,72.08,,9.0,,0.6115344811365133,,186458.0,12128.875379939209,111493.0,7426.747720364741,3.1687995124923827,2.696083873781547,14.444444444444445,15.026653988236461
Census tract,Tract 511,17031051100,1599,-87.68082660,41.94136520,3.565640194489465,1.262520733887836,82.82009724473258,5.467886843947921,17.67,,36.0,,72.08,,8.0,,7.579499482547747,,161900.0,53448.632218844985,83665.0,7889.969604863222,8.28819068255688,2.599000273460622,5.343511450381679,7.432915422624215
Census tract,Tract 512,17031051200,1581,-87.67595360,41.94142240,5.181695827725438,2.225685449913755,81.56123822341857,6.608985271428287,16.5,,35.0,,72.08,,7.0,,2.253269357418384,,176571.0,7325.835866261398,99340.0,9778.115501519756,6.39300134589502,2.276283638646848,37.66233766233766,23.119309095304793
Census tract,Tract 513,17031051300,2907,-87.67583950,41.93599710,9.537366548042703,6.300976683466499,82.41992882562278,5.938541285680359,16.29,,19.0,,72.08,,7.5,,8.816680779000846,,147386.0,46427.96352583587,97104.0,12482.066869300912,2.170818505338078,0.9458072246575392,16.595744680851062,11.22649579258185
Census tract,Tract 514,17031051400,2492,-87.68095940,41.93544200,5.525709900230238,2.558885483024418,83.65310821181889,4.923243572648598,15.42,,39.00000000000001,,72.08,,16.0,,2.2132844105748424,,167194.0,12692.40121580547,89126.0,7708.814589665653,6.101304681504221,2.2589059739838,9.615384615384617,11.347930890458814
Census tract,Tract 601,17031060100,2830,-87.66661120,41.95753110,6.217616580310881,2.8407892550665537,84.04145077720207,5.250693959945405,15.17,,44.0,,72.08,,12.0,,1.203076488851256,,157917.0,25299.088145896658,104763.0,11546.504559270517,3.523316062176165,1.5626298121214226,6.070287539936102,3.931683096607531
Census tract,Tract 602,17031060200,2313,-87.67151750,41.95790360,6.341911764705882,2.047559500661263,77.34375,2.809260657969767,14.75,,54.0,,72.08,,16.0,,5.6296453100009405,,85417.0,18456.534954407296,80426.0,13630.395136778116,5.83639705882353,2.059316004146433,46.408839779005525,19.024643781397817
Census tract,Tract 603,17031060300,3076,-87.67133270,41.95060490,9.617271835132485,3.125833165202852,76.44749754661433,1.2687892089707542,17.08,,41.0,,72.08,,9.5,,1.0701853419888985,,173125.0,20246.200607902734,96723.0,10435.866261398176,3.042198233562316,1.655972415541316,15.315315315315312,4.801502026552429
